Rk,Player,Age,Team,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
1,Rafael Furcal#,33,STL,NLWS,18,85,77,8,15,3,2,1,3,1,0,4,9,.195,.244,.325,.569,25,1,1,3,0,0,*6,,furcara02
2,Albert Pujols,31,STL,NLWS,18,82,68,15,24,8,0,5,16,1,1,12,11,.353,.463,.691,1.155,47,1,2,0,0,8,*3,,pujolal01
3,Ian Kinsler,29,TEX,ALWS,17,80,65,10,20,5,0,1,11,3,4,14,9,.308,.438,.431,.868,28,1,1,0,0,1,*4,,kinslia01
4,Elvis Andrus,22,TEX,ALWS,17,79,68,10,16,1,0,0,1,1,2,7,12,.235,.316,.250,.566,17,2,1,3,0,0,*6,,andruel01
5,Adrian Beltré,32,TEX,ALWS,17,76,72,14,19,5,0,5,9,0,0,2,19,.264,.303,.542,.844,39,1,2,0,0,1,*5,,beltrad01
6,Lance Berkman#,35,STL,NLWS,18,76,64,17,20,2,0,2,11,2,0,9,12,.313,.413,.438,.851,28,0,2,0,0,1,*9/D7H,,berkmla01
7,Josh Hamilton*,30,TEX,ALWS,17,76,70,9,19,7,0,1,13,0,0,3,8,.271,.289,.414,.704,29,1,0,0,3,2,*87,,hamiljo03
8,Yadier Molina,28,STL,NLWS,18,75,67,7,20,5,0,0,12,1,0,7,11,.299,.360,.373,.733,25,1,0,0,1,3,*2/3,,molinya01
9,Michael Young,34,TEX,ALWS,17,74,70,7,16,7,0,2,12,0,0,3,15,.229,.257,.414,.671,29,1,0,0,1,0,/D3,,youngmi02
10,David Freese,28,STL,NLWS,18,71,63,12,25,8,1,5,21,0,0,7,14,.397,.465,.794,1.258,50,3,1,0,0,1,*5,NLCS MVPWS MVP,freesda01
11,Nelson Cruz,30,TEX,ALWS,17,70,62,13,14,2,0,8,16,0,1,7,14,.226,.314,.645,.959,40,2,1,0,0,1,*9,ALCS MVP,cruzne02
12,Mike Napoli,29,TEX,ALWS,17,70,58,11,19,1,0,3,15,1,0,10,13,.328,.414,.500,.914,29,1,0,0,2,2,*2/3D,,napolmi01
13,Jon Jay*,26,STL,NLWS,18,63,55,8,10,2,0,0,3,1,1,6,6,.182,.262,.218,.480,12,2,0,2,0,1,*8/H,,jayjo02
14,Matt Holliday,31,STL,NLWS,16,62,51,13,15,3,0,1,5,0,1,10,14,.294,.419,.412,.831,21,3,1,0,0,0,*7/H,,hollima01
15,Austin Jackson,24,DET,AL,11,50,41,6,8,2,0,1,4,1,1,7,19,.195,.327,.317,.644,13,0,1,1,0,0,*8,,jacksau01
