 
Rk,Player,Age,Team,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards,Player-additional
1,Nathan Eovaldi,33,TEX,ALWS,5,0,1.000,2.95,6,6,0,0,0,0,36.2,31,12,12,3,10,1,41,1,0,0,153,2.98,1.118,7.6,0.7,2.5,10.1,4.10,,eovalna01
2,Zac Gallen,27,ARI,NLWS,2,3,.400,4.54,6,6,0,0,0,0,33.2,31,17,17,6,14,0,24,1,0,2,141,5.48,1.337,8.3,1.6,3.7,6.4,1.71,,galleza01
3,Jordan Montgomery*,30,TEX,ALWS,3,1,.750,2.90,6,5,0,0,0,0,31.0,37,11,10,3,5,1,17,0,0,1,135,3.90,1.355,10.7,0.9,1.5,4.9,3.40,,montgjo01
4,Zack Wheeler,33,PHI,NL,3,0,1.000,1.95,5,4,0,0,0,0,27.2,17,7,6,3,3,0,35,0,0,1,103,2.46,0.723,5.5,1.0,1.0,11.4,11.67,,wheelza01
5,Merrill Kelly,34,ARI,NLWS,3,1,.750,2.25,4,4,0,0,0,0,24.0,12,6,6,4,8,0,28,0,0,0,91,4.09,0.833,4.5,1.5,3.0,10.5,3.50,,kellyme01
6,Aaron Nola,30,PHI,NL,3,1,.750,2.35,4,4,0,0,0,0,23.0,18,6,6,2,4,0,23,1,0,0,89,3.04,0.957,7.0,0.8,1.6,9.0,5.75,,nolaaa01
7,Brandon Pfaadt,24,ARI,NLWS,0,1,.000,3.27,5,5,0,0,0,0,22.0,19,8,8,3,5,0,26,0,0,0,87,3.35,1.091,7.8,1.2,2.0,10.6,5.20,,pfaadbr01
8,Ranger Suarez*,27,PHI,NL,1,1,.500,1.93,4,4,0,0,0,0,18.2,13,4,4,1,2,0,19,0,0,0,71,2.24,0.804,6.3,0.5,1.0,9.2,9.50,,suarera01
9,Justin Verlander,40,HOU,AL,1,1,.500,2.95,3,3,0,0,0,0,18.1,16,6,6,3,6,0,14,1,0,0,75,5.00,1.200,7.9,1.5,2.9,6.9,2.33,,verlaju01
10,José Leclerc,29,TEX,ALWS,1,1,.500,3.29,13,0,12,0,0,4,13.2,9,5,5,3,6,0,14,0,0,0,55,5.38,1.098,5.9,2.0,4.0,9.2,2.33,,leclejo01
