"player","position","year","team","team_whole_name","age","years_experience","id_contract","contract_value","average_annual_contract_value","dummy_team_change","years_contract","initial_contract_year","reference_end_contract_year","awards","MVP_price","CYA_price","SS_price","team_g","team_w","team_l","team_divs","team_playoffs","team_games_over_500","team_pnnts","team_ws","team_hof","team_r","team_ab","team_h","team_hr","team_ra","team_w_l_percent","team_ba","team_era","war","war_to_2","g","pa","ab","r","h","x2b","x3b","hr","rbi","sb","cs","bb","so","gidp","hbp","sh","sf","ibb","ba","obp","slg","ops","ops_plus","r_oba","rbat","tb","pos","leader","g_to_2","pa_to_2","ab_to_2","r_to_2","h_to_2","x2b_to_2","x3b_to_2","hr_to_2","rbi_to_2","sb_to_2","cs_to_2","bb_to_2","so_to_2","gidp_to_2","hbp_to_2","sh_to_2","sf_to_2","ibb_to_2","ba_to_2","obp_to_2","slg_to_2","ops_to_2","ops_plus_to_2","r_oba_to_2","rbat_to_2","tb_to_2","leader_to_2"
"Aaron Harang","NH","2012","LAD","Los Angeles Dodgers",34.2,1.061,5,12000000,6000000,1,2,"2012","2013",0,0,0,0,162,86,76,0,0,10,0,0,0,637,5438,1369,116,597,0.524,0.262,3.54,-0.5,0.25,29,63,56,1,4,1,0,0,2,0,0,0,23,1,0,7,0,0,0.071,0.071,0.089,0.161,-56,0.069,-112,5,"1",0,841,3969,3136,1,16,1,0,0,4,0,0,0,529,1,0,49,0,0,0.005041,0.005041,0.007921,0.025921,3136,0.004761,12544,25,0
"Aaron Harang","NH","2013","NYM","New York Mets",35.2,2.061,5,12000000,6000000,1,2,"2012","2013",0,0,0,0,162,74,88,0,0,-14,0,0,0,619,5559,1318,130,684,0.478,0.251,3.77,0.1,0.01,6,11,11,1,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0.182,0.182,0.182,0.364,5,0.248,47,2,"1",0,36,121,121,1,4,0,0,0,0,0,0,0,36,0,0,0,0,0,0.033124,0.033124,0.033124,0.132496,25,0.061504,2209,4,0
"Aaron Harang","NH","2014","ATL","Atlanta Braves",36.2,3.061,6,1000000,1000000,1,1,"2014","2014",0,0,0,0,161,79,83,0,0,-4,0,0,4,573,5470,1316,123,597,0.501,0.26,3.64,-0.5,0.25,32,71,61,2,5,0,0,0,1,0,0,1,29,2,0,9,0,0,0.082,0.097,0.082,0.179,-49,0.084,-102,5,"1",0,1024,5041,3721,4,25,0,0,0,1,0,0,1,841,4,0,81,0,0,0.006724,0.009409,0.006724,0.032041,2401,0.007056,10404,25,0
"Aaron Harang","NH","2015","PHI","Philadelphia Phillies",37.2,4.061,7,5000000,5000000,1,1,"2015","2015",0,0,0,0,162,63,99,0,0,-36,0,0,1,626,5529,1374,130,809,0.472,0.261,3.97,0.2,0.04,28,58,48,4,8,1,0,0,0,0,0,1,18,2,0,9,0,0,0.167,0.184,0.188,0.371,4,0.185,-21,9,"1",0,784,3364,2304,16,64,1,0,0,0,0,0,1,324,4,0,81,0,0,0.027889,0.033856,0.035344,0.137641,16,0.034225,441,81,0
"Aaron Hicks","NH","2023","BAL","Baltimore Orioles",33.8,0,8,720000,720000,1,1,"2023","2023",0,0,0,0,162,101,61,1,1,40,0,0,0,807,5495,1399,183,678,0.474,0.258,4.05,0.5,0.25,93,312,269,44,68,9,1,8,36,6,0,42,69,3,0,0,1,1,0.253,0.353,0.383,0.735,106,0.328,106,103,"879H/D",0,8649,97344,72361,1936,4624,81,1,64,1296,36,0,1764,4761,9,0,0,1,1,0.064009,0.124609,0.146689,0.540225,11236,0.107584,11236,10609,0
"Aaron Hicks","NH","2024","LAA","Los Angeles Angels",34.8,1,9,740000,740000,1,1,"2024","2024",0,0,0,0,162,63,99,0,0,-36,0,0,0,635,5357,1227,165,797,0.495,0.256,4,-0.7,0.49,18,63,57,6,8,0,0,1,5,0,0,6,23,1,0,0,0,0,0.14,0.222,0.193,0.415,19,0.196,14,11,"/9DH781",0,324,3969,3249,36,64,0,0,1,25,0,0,36,529,1,0,0,0,0,0.0196,0.049284,0.037249,0.172225,361,0.038416,196,121,0
"Aaron Hill","NH","2012","ARI","Arizona Diamondbacks",30.3,0,10,11000000,5500000,0,2,"2012","2013",2,1,0,1,162,81,81,0,0,0,0,0,0,734,5462,1416,165,688,0.498,0.258,4.26,5.1,26.01,156,668,609,93,184,44,6,26,85,14,5,52,86,15,4,1,2,7,0.302,0.36,0.522,0.882,133,0.384,135,318,"4/H",0,24336,446224,370881,8649,33856,1936,36,676,7225,196,25,2704,7396,225,16,1,4,49,0.091204,0.1296,0.272484,0.777924,17689,0.147456,18225,101124,0
"Aaron Hill","NH","2013","ARI","Arizona Diamondbacks",31.3,1,10,11000000,5500000,0,2,"2012","2013",0,0,0,0,162,81,81,0,0,0,0,0,0,685,5676,1468,130,695,0.498,0.258,4.23,1.1,1.21,87,362,327,45,95,21,1,11,41,1,4,29,48,6,5,0,1,2,0.291,0.356,0.462,0.818,124,0.359,127,151,"4/H",0,7569,131044,106929,2025,9025,441,1,121,1681,1,16,841,2304,36,25,0,1,4,0.084681,0.126736,0.213444,0.669124,15376,0.128881,16129,22801,0
"Aaron Hill","NH","2017","SF","San Francisco Giants",35.3,2,11,2000000,2000000,1,1,"2017","2017",0,0,0,0,168,64,98,0,0,-34,0,0,0,639,5551,1382,128,776,0.537,0.264,3.56,-0.9,0.81,34,80,68,7,9,2,1,1,7,0,0,11,13,2,0,0,1,0,0.132,0.25,0.235,0.485,30,0.237,30,16,"H/457",0,1156,6400,4624,49,81,4,1,1,49,0,0,121,169,4,0,0,1,0,0.017424,0.0625,0.055225,0.235225,900,0.056169,900,256,0
"Aaron Loup","NH","2021","NYM","New York Mets",33.7,0,12,3000000,3000000,1,1,"2021","2021",0,0,0,0,162,77,85,0,0,-8,0,0,0,636,5210,1243,176,668,0.48,0.25,3.8,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1",0,3969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
