"player","team","year","war","g","pa","ab","r","h","x2b","x3b","hr","rbi","sb","cs","bb","so","ba","obp","slg","ops","ops_plus","r_oba","rbat","tb","gidp","hbp","sh","sf","ibb","pos","awards","war_to_2","g_to_2","pa_to_2","ab_to_2","r_to_2","h_to_2","x2b_to_2","x3b_to_2","hr_to_2","rbi_to_2","sb_to_2","cs_to_2","bb_to_2","so_to_2","ba_to_2","obp_to_2","slg_to_2","ops_to_2","ops_plus_to_2","r_oba_to_2","rbat_to_2","tb_to_2","gidp_to_2","hbp_to_2","sh_to_2","sf_to_2","ibb_to_2","dummy_team_change","position","age","years_contract","contract_value","average_annual_contract_value","years_experience","id_contract"
"Aaron Harang","LAD","2012",-0.5,29,63,56,1,4,1,0,0,2,0,0,0,23,0.071,0.071,0.089,0.161,-56,0.069,-112,5,1,0,7,0,0,"1",0,-0.5,29,63,56,1,4,1,0,0,2,0,0,0,23,0.071,0.071,0.089,0.161,-56,0.069,-112,5,1,0,7,0,0,1,"SP",34.2,2,12000000,6000000,1.061,5
"Aaron Harang","2TM","2013",0.1,6,11,11,1,2,0,0,0,0,0,0,0,6,0.182,0.182,0.182,0.364,5,0.248,47,2,0,0,0,0,0,"1",0,0.1,6,11,11,1,2,0,0,0,0,0,0,0,6,0.182,0.182,0.182,0.364,5,0.248,47,2,0,0,0,0,0,1,"SP",35.2,2,12000000,6000000,2.061,5
"Aaron Harang","ATL","2014",-0.5,32,71,61,2,5,0,0,0,1,0,0,1,29,0.082,0.097,0.082,0.179,-49,0.084,-102,5,2,0,9,0,0,"1",0,-0.5,32,71,61,2,5,0,0,0,1,0,0,1,29,0.082,0.097,0.082,0.179,-49,0.084,-102,5,2,0,9,0,0,1,"SP",36.2,1,1000000,1000000,3.061,6
"Aaron Harang","PHI","2015",0.2,28,58,48,4,8,1,0,0,0,0,0,1,18,0.167,0.184,0.188,0.371,4,0.185,-21,9,2,0,9,0,0,"1",0,0.2,28,58,48,4,8,1,0,0,0,0,0,1,18,0.167,0.184,0.188,0.371,4,0.185,-21,9,2,0,9,0,0,1,"SP",37.2,1,5000000,5000000,4.061,7
"Aaron Hicks","2TM","2023",0.5,93,312,269,44,68,9,1,8,36,6,0,42,69,0.253,0.353,0.383,0.735,106,0.328,106,103,3,0,0,1,1,"879H/D",0,0.5,93,312,269,44,68,9,1,8,36,6,0,42,69,0.253,0.353,0.383,0.735,106,0.328,106,103,3,0,0,1,1,1,"CF",33.8,1,720000,720000,0,8
"Aaron Hicks","LAA","2024",-0.7,18,63,57,6,8,0,0,1,5,0,0,6,23,0.14,0.222,0.193,0.415,19,0.196,14,11,1,0,0,0,0,"/9DH781",0,-0.7,18,63,57,6,8,0,0,1,5,0,0,6,23,0.14,0.222,0.193,0.415,19,0.196,14,11,1,0,0,0,0,1,"CF",34.8,1,740000,740000,1,9
"Aaron Hill","ARI","2012",5.1,156,668,609,93,184,44,6,26,85,14,5,52,86,0.302,0.36,0.522,0.882,133,0.384,135,318,15,4,1,2,7,"4/H",2,5.1,156,668,609,93,184,44,6,26,85,14,5,52,86,0.302,0.36,0.522,0.882,133,0.384,135,318,15,4,1,2,7,0,"3B",30.3,2,11000000,5500000,0,10
"Aaron Hill","ARI","2013",1.1,87,362,327,45,95,21,1,11,41,1,4,29,48,0.291,0.356,0.462,0.818,124,0.359,127,151,6,5,0,1,2,"4/H",0,1.1,87,362,327,45,95,21,1,11,41,1,4,29,48,0.291,0.356,0.462,0.818,124,0.359,127,151,6,5,0,1,2,0,"3B",31.3,2,11000000,5500000,1,10
"Aaron Hill","SFG","2017",-0.9,34,80,68,7,9,2,1,1,7,0,0,11,13,0.132,0.25,0.235,0.485,30,0.237,30,16,2,0,0,1,0,"H/457",0,-0.9,34,80,68,7,9,2,1,1,7,0,0,11,13,0.132,0.25,0.235,0.485,30,0.237,30,16,2,0,0,1,0,1,"3B",35.3,1,2000000,2000000,2,11
"Aaron Loup","NYM","2021",0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1",0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"RP",33.7,1,3000000,3000000,0,12
