"team_whole_name","team","year","team_g","team_w","team_l","team_divs","team_playoffs","team_games_over_500","team_pnnts","team_ws","team_hof","team_r","team_ab","team_h","team_hr","team_ra","team_w_l_percent","team_ba","team_era"
"Arizona Diamondbacks","ARI","2011",162,94,68,1,1,26,0,0,1,731,5421,1357,172,662,0.498,0.258,4.28
"Arizona Diamondbacks","ARI","2012",162,81,81,0,0,0,0,0,0,734,5462,1416,165,688,0.498,0.258,4.26
"Arizona Diamondbacks","ARI","2013",162,81,81,0,0,0,0,0,0,685,5676,1468,130,695,0.498,0.258,4.23
"Arizona Diamondbacks","ARI","2014",162,64,98,0,0,-34,0,0,0,615,5552,1379,118,742,0.492,0.258,4.23
"Arizona Diamondbacks","ARI","2015",162,79,83,0,0,-4,0,0,1,720,5649,1494,154,713,0.492,0.258,4.22
"Arizona Diamondbacks","ARI","2016",162,69,93,0,0,-24,0,0,0,752,5665,1479,190,890,0.488,0.258,4.27
"Arizona Diamondbacks","ARI","2017",162,93,69,0,1,24,0,0,0,812,5525,1405,220,659,0.493,0.258,4.23
"Arizona Diamondbacks","ARI","2018",162,82,80,0,0,2,0,0,0,693,5460,1283,176,644,0.493,0.257,4.21
"Arizona Diamondbacks","ARI","2019",162,85,77,0,0,8,0,0,0,813,5633,1419,220,743,0.495,0.257,4.21
"Arizona Diamondbacks","ARI","2020",60,25,35,0,0,-10,0,0,0,269,1997,482,58,295,0.493,0.257,4.22
"Arizona Diamondbacks","ARI","2021",162,52,110,0,0,-58,0,0,0,679,5489,1297,144,893,0.486,0.256,4.26
"Arizona Diamondbacks","ARI","2022",162,74,88,0,0,-14,0,0,0,702,5351,1232,173,740,0.485,0.255,4.26
"Arizona Diamondbacks","ARI","2023",162,84,78,0,1,6,1,0,0,746,5436,1359,166,761,0.486,0.254,4.27
"Arizona Diamondbacks","ARI","2024",162,89,73,0,0,16,0,0,0,886,5522,1452,211,788,0.489,0.255,4.28
"Arizona Diamondbacks","ARI","2025",162,80,82,0,0,-2,0,0,0,791,5480,1377,214,785,0.489,0.255,4.29
"Atlanta Braves","ATL","2011",162,89,73,0,0,16,0,0,0,641,5528,1345,173,605,0.5,0.26,3.65
"Atlanta Braves","ATL","2012",162,94,68,0,1,26,0,0,0,700,5425,1341,149,600,0.501,0.26,3.65
"Atlanta Braves","ATL","2013",162,96,66,1,1,30,0,0,1,696,5441,1354,181,568,0.502,0.26,3.64
"Atlanta Braves","ATL","2014",161,79,83,0,0,-4,0,0,4,573,5470,1316,123,597,0.501,0.26,3.64
"Atlanta Braves","ATL","2015",162,67,95,0,0,-28,0,0,1,573,5420,1361,100,760,0.501,0.26,3.64
"Atlanta Braves","ATL","2016",161,68,93,0,0,-25,0,0,0,649,5514,1404,122,779,0.5,0.26,3.65
"Atlanta Braves","ATL","2017",163,72,90,0,0,-18,0,0,0,732,5584,1467,165,821,0.5,0.26,3.66
"Atlanta Braves","ATL","2018",162,90,72,1,1,18,0,0,1,759,5582,1433,175,657,0.5,0.26,3.66
"Atlanta Braves","ATL","2019",162,97,65,1,1,32,0,0,0,855,5560,1432,249,743,0.501,0.26,3.66
"Atlanta Braves","ATL","2020",60,35,25,1,1,10,0,0,1,348,2074,556,103,288,0.501,0.26,3.67
"Atlanta Braves","ATL","2021",161,88,73,1,1,15,1,1,0,790,5363,1307,239,656,0.501,0.26,3.67
"Atlanta Braves","ATL","2022",162,101,61,1,1,40,0,0,1,789,5509,1394,243,609,0.502,0.26,3.67
"Atlanta Braves","ATL","2023",162,104,58,1,1,46,0,0,0,947,5597,1543,307,716,0.503,0.26,3.67
"Atlanta Braves","ATL","2024",162,89,73,0,1,16,0,0,0,704,5481,1333,213,607,0.504,0.26,3.67
"Atlanta Braves","ATL","2025",162,76,86,0,0,-10,0,0,1,724,5508,1349,190,734,0.503,0.26,3.67
"Baltimore Orioles","BAL","2011",162,69,93,0,0,-24,0,0,1,708,5585,1434,191,860,0.474,0.259,4.01
"Baltimore Orioles","BAL","2012",162,93,69,0,1,24,0,0,0,712,5560,1375,214,705,0.475,0.259,4.01
"Baltimore Orioles","BAL","2013",162,85,77,0,0,8,0,0,0,750,5634,1474,212,735,0.475,0.259,4.01
"Baltimore Orioles","BAL","2014",162,96,66,1,1,30,0,0,0,705,5596,1434,211,593,0.476,0.259,4
"Baltimore Orioles","BAL","2015",162,81,81,0,0,0,0,0,0,713,5485,1370,217,693,0.476,0.259,4
"Baltimore Orioles","BAL","2016",162,89,73,0,1,16,0,0,0,744,5524,1413,253,715,0.477,0.259,4
"Baltimore Orioles","BAL","2017",162,75,87,0,0,-12,0,0,1,743,5650,1469,232,841,0.477,0.259,4.01
"Baltimore Orioles","BAL","2018",162,47,115,0,0,-68,0,0,2,622,5507,1317,188,892,0.475,0.259,4.02
"Baltimore Orioles","BAL","2019",162,54,108,0,0,-54,0,0,3,729,5596,1379,213,981,0.474,0.259,4.04
"Baltimore Orioles","BAL","2020",60,25,35,0,0,-10,0,0,0,274,2026,523,77,294,0.474,0.259,4.04
"Baltimore Orioles","BAL","2021",162,52,110,0,0,-58,0,0,0,659,5420,1296,195,956,0.473,0.258,4.05
"Baltimore Orioles","BAL","2022",162,83,79,0,0,4,0,0,0,674,5429,1281,171,688,0.473,0.258,4.05
"Baltimore Orioles","BAL","2023",162,101,61,1,1,40,0,0,0,807,5495,1399,183,678,0.474,0.258,4.05
"Baltimore Orioles","BAL","2024",162,91,71,0,1,20,0,0,0,786,5567,1391,235,699,0.475,0.258,4.05
"Baltimore Orioles","BAL","2025",162,75,87,0,0,-12,0,0,0,677,5416,1273,191,788,0.475,0.258,4.05
"Boston Red Sox","BOS","2011",162,90,72,0,0,18,0,0,0,875,5710,1600,203,737,0.518,0.267,3.89
